liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out,delay_aspirate,delay_dispense,delay_blow_out,density,time,m,%error,Transfer_Observation,Comment,iteration,time_asp_1000,acq_value
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",8.523991927314578,5.129182008591327,False,10,10,0,0.8736,375.483870267868,0.8533152963024248,-4.559604166292275,Complete Transfer,Blowout before,,332.2787864741745,49.79763700732034
Viscosity_std_1275,rLine1000,1000,6.512062213891554,5.996858036489364,False,10,10,0,0.8736,383.7002627849579,0.8503719253476573,-2.658891329251692,Complete Transfer,Blowout before,,340.31517563869517,44.78102654397036
Viscosity_std_1275,rLine1000,500,6.512062213891554,5.996858036489364,False,10,10,0,0.8736,223.61029052734372,0.4102359696065445,-6.081508789710497,Incomplete Aspiration and Dispense,Blowout before,,340.31517563869517,44.78102654397036
Viscosity_std_1275,rLine1000,300,6.512062213891554,5.996858036489364,False,10,10,0,0.8736,159.63718104362488,0.2440229375222278,-6.889904791579754,Incomplete Aspiration and Dispense,Blowout before,,340.31517563869517,44.78102654397036
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",6.512062213891554,5.996858036489364,False,10,10,0,0.8736,383.7002627849579,0.8503719253476573,-5.210101636847314,Complete Transfer,Blowout before,,340.31517563869517,44.78102654397036
Viscosity_std_1275,rLine1000,1000,8.775678232781562,4.25116856180141,False,10,10,0,0.8736,413.1320803165436,0.8481862538465922,-2.90908266408057,Incomplete Aspiration,Blowout before,,369.1807464619112,28.27003164271758
Viscosity_std_1275,rLine1000,500,8.775678232781562,4.25116856180141,False,10,10,0,0.8736,237.89866089820865,0.4073654543684793,-6.7386780291943005,Incomplete Aspiration,Blowout before,,369.1807464619112,28.27003164271758
Viscosity_std_1275,rLine1000,300,8.775678232781562,4.25116856180141,False,10,10,0,0.8736,167.98676753044128,0.2390687487864806,-8.780239321397808,Incomplete Aspiration,Blowout before,,369.1807464619112,28.27003164271758
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",8.775678232781562,4.25116856180141,False,10,10,0,0.8736,413.1320803165436,0.8481862538465922,-6.142666671557559,Incomplete Aspiration,Blowout before,,369.1807464619112,28.27003164271758
Viscosity_std_1275,rLine1000,1000,8.118998437436591,3.4222638162255,False,10,10,0,0.8736,479.06612157821655,0.8547141260631061,-2.1618445440583667,Complete Transfer,Blowout before,,435.3721422526727,14.053768929842263
Viscosity_std_1275,rLine1000,500,8.118998437436591,3.4222638162255,False,10,10,0,0.8736,271.0299475193024,0.421834599705529,-3.4261447560602023,Complete Transfer,Blowout before,,435.3721422526727,14.053768929842263
Viscosity_std_1275,rLine1000,300,8.118998437436591,3.4222638162255,False,10,10,0,0.8736,188.1601688861847,0.2439792240922065,-6.906584213901679,Incomplete Aspiration and Dispense,Blowout before,,435.3721422526727,14.053768929842263
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",8.118998437436591,3.4222638162255,False,10,10,0,0.8736,479.06612157821655,0.8547141260631061,-4.164857838006749,Complete Transfer,Blowout before,,435.3721422526727,14.053768929842263
Viscosity_std_1275,rLine1000,1000,4.598679533895417,5.893073264351552,False,10,10,0,0.8736,450.4435329437256,0.85248474113202,-2.4170397055837967,Complete Transfer,Blowout before,,407.1444724079161,20.023648472242137
Viscosity_std_1275,rLine1000,500,4.598679533895417,5.893073264351552,False,10,10,0,0.8736,256.88113617897034,0.42109147139516695,-3.596274863743835,Complete Transfer,Blowout before,,407.1444724079161,20.023648472242137
Viscosity_std_1275,rLine1000,300,4.598679533895417,5.893073264351552,False,10,10,0,0.8736,179.60525393486023,0.24763658107065512,-5.511072546300717,Complete Transfer,Blowout before,,407.1444724079161,20.023648472242137
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",4.598679533895417,5.893073264351552,False,10,10,0,0.8736,450.4435329437256,0.85248474113202,-3.841462371876116,Complete Transfer,Blowout before,,407.1444724079161,20.023648472242137
Viscosity_std_1275,rLine1000,1000,3.822057070506019,23.19698850678994,False,10,10,0,0.8736,368.24870443344116,0.7289505878918309,-16.55785395011094,Incomplete Dispense,Blowout before,,324.74825603904964,22.342610398181204
Viscosity_std_1275,rLine1000,300,3.822057070506019,23.19698850678994,False,10,10,0,0.8736,154.81538724899292,0.2301366379187954,-12.188401282510922,Incomplete Dispense,Blowout before,,324.74825603904964,22.342610398181204
Viscosity_std_1275,rLine1000,500,3.822057070506019,23.19698850678994,False,10,10,0,0.8736,215.8820652961731,0.4005607304284972,-8.296536074061999,Incomplete Dispense,Blowout before,,324.74825603904964,22.342610398181204
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",3.822057070506019,23.19698850678994,False,10,10,0,0.8736,368.24870443344116,0.7289505878918309,-12.347597102227953,Incomplete Dispense,Blowout before,,324.74825603904964,22.342610398181204
Viscosity_std_1275,rLine1000,1000,6.522268913838843,5.229180855361609,False,10,10,0,0.8736,407.77311754226685,0.8312691564283499,-4.845563595655927,Incomplete Aspiration and Dispense,Blowout before,,364.55541941835776,20.370698172778095
Viscosity_std_1275,rLine1000,500,6.522268913838843,5.229180855361609,False,10,10,0,0.8736,235.5788722038269,0.40548577687756354,-7.169007125099926,Incomplete Aspiration and Dispense,Blowout before,,364.55541941835776,20.370698172778095
Viscosity_std_1275,rLine1000,300,6.522268913838843,5.229180855361609,False,10,10,0,0.8736,166.75773096084595,0.23697050414545837,-9.580851592850147,Incomplete Aspiration and Dispense,Blowout before,,364.55541941835776,20.370698172778095
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",6.522268913838843,5.229180855361609,False,10,10,0,0.8736,407.77311754226685,0.8312691564283499,-7.198474104535333,Incomplete Aspiration and Dispense,Blowout before,,364.55541941835776,20.370698172778095
Viscosity_std_1275,rLine1000,1000,3.8173881651460215,9.554462746016432,False,10,10,0,0.8736,430.0450484752655,0.8476908349730177,-2.9657926999750885,Incomplete Dispense,Blowout before,,386.62234560529294,13.831068198341308
Viscosity_std_1275,rLine1000,500,3.8173881651460215,9.554462746016432,False,10,10,0,0.8736,246.7445514202118,0.42132460968861396,-3.542900712313658,Incomplete Dispense,Blowout before,,386.62234560529294,13.831068198341308
Viscosity_std_1275,rLine1000,300,3.8173881651460215,9.554462746016432,False,10,10,0,0.8736,173.47693943977356,0.24537805385288808,-6.372842699600105,Incomplete Dispense,Blowout before,,386.62234560529294,13.831068198341308
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",3.8173881651460215,9.554462746016432,False,10,10,0,0.8736,430.0450484752655,0.8476908349730177,-4.293845370629618,Incomplete Dispense,Blowout before,,386.62234560529294,13.831068198341308
Viscosity_std_1275,rLine1000,1000,18.33006776067774,3.089580664712054,False,10,10,0,0.8736,443.05969166755676,0.8266355328460923,-5.375969225493106,Incomplete Aspiration,Blowout before,,398.2236916516751,14.609572975092421
Viscosity_std_1275,rLine1000,500,18.33006776067774,3.089580664712054,False,10,10,0,0.8736,252.3418481349945,0.39390171792191936,-9.821035274285865,Incomplete Aspiration,Blowout before,,398.2236916516751,14.609572975092421
Viscosity_std_1275,rLine1000,300,18.33006776067774,3.089580664712054,False,10,10,0,0.8736,176.6800446510315,0.21715374920246977,-17.142189712122352,Incomplete Aspiration,Blowout before,,398.2236916516751,14.609572975092421
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",18.33006776067774,3.089580664712054,False,10,10,0,0.8736,443.05969166755676,0.8266355328460923,-10.779731403967107,Incomplete Aspiration,Blowout before,,398.2236916516751,14.609572975092421
Viscosity_std_1275,rLine1000,1000,6.763740777179874,4.5342604885576865,False,10,10,0,0.8736,431.61583614349365,0.8422557985070362,-3.5879351525828524,Complete Transfer,Blowout before,,388.39030989256776,14.548299850732747
Viscosity_std_1275,rLine1000,500,6.763740777179874,4.5342604885576865,False,10,10,0,0.8736,247.51308584213257,0.4204211988015071,-3.7497255491055275,Complete Transfer,Blowout before,,388.39030989256776,14.548299850732747
Viscosity_std_1275,rLine1000,300,6.763740777179874,4.5342604885576865,False,10,10,0,0.8736,173.91101908683777,0.24858370538778332,-5.149685062659002,Complete Transfer,Blowout before,,388.39030989256776,14.548299850732747
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",6.763740777179874,4.5342604885576865,False,10,10,0,0.8736,431.61583614349365,0.8422557985070362,-4.162448588115794,Complete Transfer,Blowout before,,388.39030989256776,14.548299850732747
Viscosity_std_1275,rLine1000,1000,4.168234746527649,7.703553192172189,False,10,10,0,0.8736,433.1197123527527,0.8473994121062088,-2.9991515446189565,Complete Transfer,Blowout before,,389.7199410608156,15.672822248218473
Viscosity_std_1275,rLine1000,500,4.168234746527649,7.703553192172189,False,10,10,0,0.8736,247.91506171226501,0.4154815812091004,-4.880590382531967,Complete Transfer,Blowout before,,389.7199410608156,15.672822248218473
Viscosity_std_1275,rLine1000,300,4.168234746527649,7.703553192172189,False,10,10,0,0.8736,174.15447330474854,0.246048326446548,-6.117091557330597,Complete Transfer,Blowout before,,389.7199410608156,15.672822248218473
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",4.168234746527649,7.703553192172189,False,10,10,0,0.8736,433.1197123527527,0.8473994121062088,-4.66561116149384,Complete Transfer,Blowout before,,389.7199410608156,15.672822248218473
Viscosity_std_1275,rLine1000,1000,4.605809306228667,7.13557699332981,False,10,10,0,0.8736,420.58590841293335,0.8540001400394251,-2.2435737134357705,Complete Transfer,Blowout before,,377.25994525787706,16.182838397477298
Viscosity_std_1275,rLine1000,500,4.605809306228667,7.13557699332981,False,10,10,0,0.8736,242.01796126365662,0.4110810959202897,-5.888027490776175,Complete Transfer,Blowout before,,377.25994525787706,16.182838397477298
Viscosity_std_1275,rLine1000,300,4.605809306228667,7.13557699332981,False,10,10,0,0.8736,171.0285804271698,0.2405987188372261,-8.196459540130464,Incomplete Dispense,Blowout before,,377.25994525787706,16.182838397477298
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",4.605809306228667,7.13557699332981,False,10,10,0,0.8736,420.58590841293335,0.8540001400394251,-5.442686914780803,Complete Transfer,Blowout before,,377.25994525787706,16.182838397477298
Viscosity_std_1275,rLine1000,1000,3.8671149709359853,4.755213441593282,False,10,10,0,0.8736,532.4345171451569,0.8511150536580194,-2.573826275409869,Incomplete Dispense,Blowout before,,488.8862109111585,15.85645721896976
Viscosity_std_1275,rLine1000,500,3.8671149709359853,4.755213441593282,False,10,10,0,0.8736,297.805921792984,0.4278816241918087,-2.0417527033405047,Incomplete Dispense,Blowout before,,488.8862109111585,15.85645721896976
Viscosity_std_1275,rLine1000,300,3.8671149709359853,4.755213441593282,False,10,10,0,0.8736,204.1355242729187,0.25012824658186916,-4.560345473951035,Incomplete Dispense,Blowout before,,488.8862109111585,15.85645721896976
Viscosity_std_1275,rLine1000,"mean[300, 500, 1000]",3.8671149709359853,4.755213441593282,False,10,10,0,0.8736,532.4345171451569,0.8511150536580194,-3.058641484233803,Incomplete Dispense,Blowout before,,488.8862109111585,15.85645721896976
