,Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth,ts,Mass_analysis_smooth,Mass_analysis_derivative_smooth
132,2023-06-22 13:35:33.657010,252319,6.862879436681862,178460.28952380954,10762.058572880956,10857.10726174778,-9.16861173266625,26.443052768707275,-1.757811531836264e-263,-4.572276845429836e-267
133,2023-06-22 13:35:33.859160,252220,6.862879436681862,178460.28952380954,10747.633140973929,10847.738496947244,-9.368764800536155,26.64520287513733,-1.7572919955002597e-263,5.19536336004314e-267
134,2023-06-22 13:35:34.059577,252138,6.862879436681862,178460.28952380954,10735.684803434773,10838.539461948258,-9.199034998986463,26.845619916915894,-1.757701934052238e-263,-4.099385519784328e-267
135,2023-06-22 13:35:34.258942,252082,6.862879436681862,178460.28952380954,10727.52496316413,10829.178703270434,-9.360758677823469,27.044984817504883,-1.756807759110925e-263,8.94174941313055e-267
136,2023-06-22 13:35:34.457146,251916,6.862879436681862,178460.28952380954,10703.336865219013,10819.830754388955,-9.34794888147917,27.243189096450806,-1.7568552092175073e-263,-4.7450106582287974e-268
137,2023-06-22 13:35:34.657559,251869,6.862879436681862,178460.28952380954,10696.48842784901,10810.545253264652,-9.285501124302755,27.443602085113525,-1.7562442252041022e-263,6.109840134050772e-267
138,2023-06-22 13:35:34.855485,251779,6.862879436681862,178460.28952380954,10683.37439884262,10801.205310505893,-9.339942758759207,27.641527891159058,-1.7562845455865895e-263,-4.0320382487292103e-268
139,2023-06-22 13:35:35.060611,251735,6.862879436681862,178460.28952380954,10676.96309577283,10791.882981217099,-9.322329288794208,27.846653938293457,-1.7565318367163517e-263,-2.4729112976220908e-267
140,2023-06-22 13:35:35.256774,251642,6.862879436681862,178460.28952380954,10663.411932466228,10782.61669478731,-9.266286429789034,28.042816877365112,-1.7558379621077455e-263,6.938746086062262e-267
141,2023-06-22 13:35:35.461787,251529,6.862879436681862,178460.28952380954,10646.946540491537,10773.209500597743,-9.407194189567235,28.247829914093018,-1.7558703569757693e-263,-3.2394868023741745e-268
142,2023-06-22 13:35:35.660989,251530,6.862879436681862,178460.28952380954,10647.092251924942,10763.861551716263,-9.34794888147917,28.44703197479248,-1.75526112903315e-263,6.092279426192009e-267
