Time,Value,Factor,Baseline,Mass,Mass_smooth,Mass_derivative_smooth,ts
2023-08-31 10:36:09.746891,379886,6.862879436681862,384796.2394957983,-696.500651672687,-623.8210696702428,-7.743521889487397,31.234663009643555
2023-08-31 10:36:09.937522,379816,6.862879436681862,384796.2394957983,-706.7004520109899,-631.4236837999539,-7.602614129711128,31.425293922424316
2023-08-31 10:36:10.141284,379748,6.862879436681862,384796.2394957983,-716.6088294824842,-638.98466609155,-7.560982291596133,31.629055976867676
2023-08-31 10:36:10.341035,379710,6.862879436681862,384796.2394957983,-722.1458639518487,-646.2830475581097,-7.298381466559704,31.82880687713623
2023-08-31 10:36:10.545144,379722,6.862879436681862,384796.2394957983,-720.3973267509967,-653.4645396330371,-7.181492074927405,32.03291606903076
2023-08-31 10:36:10.742569,379674,6.862879436681862,384796.2394957983,-727.3914755544046,-660.3930382301858,-6.928498597148632,32.2303409576416
2023-08-31 10:36:10.938136,379646,6.862879436681862,384796.2394957983,-731.4713956897257,-667.0925617176994,-6.699523487513602,32.42590808868408
2023-08-31 10:36:11.146122,379583,6.862879436681862,384796.2394957983,-740.6512159941983,-673.596735810978,-6.504174093278607,32.633893966674805
2023-08-31 10:36:11.345822,379514,6.862879436681862,384796.2394957983,-750.705304899097,-679.9375850008805,-6.340849189902542,32.83359384536743
2023-08-31 10:36:11.538030,379454,6.862879436681862,384796.2394957983,-759.4479909033566,-686.0718762247486,-6.134291223868104,33.02580213546753
2023-08-31 10:36:11.737829,379404,6.862879436681862,384796.2394957983,-766.7335625735731,-691.9867996862387,-5.914923461490048,33.22560119628906
2023-08-31 10:36:11.937603,379393,6.862879436681862,384796.2394957983,-768.3363883410207,-697.6887602835222,-5.701960597283573,33.42537498474121
2023-08-31 10:36:12.145457,379406,6.862879436681862,384796.2394957983,-766.4421397067644,-703.1889665883996,-5.500206304877338,33.63322877883911
2023-08-31 10:36:12.344903,379360,6.862879436681862,384796.2394957983,-773.1448656433635,-708.4617990081849,-5.272832419785345,33.832674980163574
2023-08-31 10:36:12.539441,379347,6.862879436681862,384796.2394957983,-775.0391142776198,-713.6433616290246,-5.181562620839713,34.02721285820007
2023-08-31 10:36:12.758058,379355,6.862879436681862,384796.2394957983,-773.8734228103851,-718.7432617981763,-5.099900169151624,34.245830059051514
2023-08-31 10:36:12.940315,379339,6.862879436681862,384796.2394957983,-776.2048057448543,-723.518113385118,-4.774851586941736,34.42808675765991
2023-08-31 10:36:13.137815,379358,6.862879436681862,384796.2394957983,-773.4362885101722,-728.1504559877412,-4.6323426026232255,34.62558698654175
2023-08-31 10:36:13.340087,379338,6.862879436681862,384796.2394957983,-776.3505171782587,-732.8036145094222,-4.653158521681007,34.82785892486572
2023-08-31 10:36:13.541334,379289,6.862879436681862,384796.2394957983,-783.4903774150707,-737.1125097543787,-4.308895244956489,35.02910590171814
2023-08-31 10:36:13.746217,379290,6.862879436681862,384796.2394957983,-783.3446659816664,-741.4182025502497,-4.305692795870982,35.233989000320435
2023-08-31 10:36:13.943847,379230,6.862879436681862,384796.2394957983,-792.087351985926,-745.5333496255147,-4.115147075264986,35.4316189289093
2023-08-31 10:36:14.149664,379237,6.862879436681862,384796.2394957983,-791.0673719520958,-749.6004599644925,-4.067110338977841,35.63743591308594
2023-08-31 10:36:14.345870,379217,6.862879436681862,384796.2394957983,-793.9816006201823,-753.5026441755514,-3.9021842110588523,35.83364200592041
2023-08-31 10:36:14.556945,379184,6.862879436681862,384796.2394957983,-798.7900779225251,-757.3744051202953,-3.871760944743869,36.04471683502197
2023-08-31 10:36:14.745596,379192,6.862879436681862,384796.2394957983,-797.6243864552905,-761.052417895347,-3.6780127750517977,36.233367919921875
2023-08-31 10:36:14.948574,379154,6.862879436681862,384796.2394957983,-803.161420924655,-764.6567743414255,-3.604356446078441,36.43634605407715
2023-08-31 10:36:15.147620,379135,6.862879436681862,384796.2394957983,-805.9299381593372,-768.0737875159842,-3.417013174558747,36.63539218902588
2023-08-31 10:36:15.351511,379122,6.862879436681862,384796.2394957983,-807.8241867935935,-771.3146659908234,-3.240878474839178,36.83928298950195
2023-08-31 10:36:15.549476,379073,6.862879436681862,384796.2394957983,-814.9640470304056,-774.4034281340864,-3.0887621432630112,37.03724813461304
2023-08-31 10:36:15.748758,379128,6.862879436681862,384796.2394957983,-806.9499181931675,-777.5338221154651,-3.1303939813786883,37.2365300655365
2023-08-31 10:36:15.950627,379102,6.862879436681862,384796.2394957983,-810.73841546168,-780.48007527441,-2.9462531589448417,37.43839907646179
2023-08-31 10:36:16.148966,379104,6.862879436681862,384796.2394957983,-810.4469925948714,-783.2357827127489,-2.755707438338959,37.63673782348633
2023-08-31 10:36:16.352021,379097,6.862879436681862,384796.2394957983,-811.4669726287017,-786.0283183155747,-2.792535602825751,37.83979296684265
2023-08-31 10:36:16.543890,379083,6.862879436681862,384796.2394957983,-813.5069326963622,-788.7231792212832,-2.6948609057085378,38.03166198730469
2023-08-31 10:36:16.754531,379093,6.862879436681862,384796.2394957983,-812.049818362319,-791.2435066518152,-2.5203274305320065,38.242303133010864
2023-08-31 10:36:16.952462,379073,6.862879436681862,384796.2394957983,-814.9640470304056,-793.6261287716575,-2.3826221198422672,38.44023418426514
2023-08-31 10:36:17.147444,379016,6.862879436681862,384796.2394957983,-823.2695987344522,-795.8790517035243,-2.252922931866806,38.63521599769592
2023-08-31 10:36:17.355627,379057,6.862879436681862,384796.2394957983,-817.2954299648748,-798.0727293273037,-2.193677623779422,38.84339904785156
2023-08-31 10:36:17.553635,379046,6.862879436681862,384796.2394957983,-818.8982557323224,-800.1351065385651,-2.062377211261378,39.041407108306885
2023-08-31 10:36:17.754766,379038,6.862879436681862,384796.2394957983,-820.063947199557,-802.0277539482786,-1.8926474097135042,39.24253797531128
2023-08-31 10:36:17.956638,378992,6.862879436681862,384796.2394957983,-826.7666731361561,-803.9764442169934,-1.948690268714813,39.44440984725952
2023-08-31 10:36:18.163848,378963,6.862879436681862,384796.2394957983,-830.9923047048816,-805.8610855039924,-1.884641286998999,39.65161991119385
2023-08-31 10:36:18.363470,378975,6.862879436681862,384796.2394957983,-829.2437675040297,-807.6608618902168,-1.79977638622438,39.85124206542969
2023-08-31 10:36:18.555353,378966,6.862879436681862,384796.2394957983,-830.5551704046686,-809.2861048012652,-1.6252429110484172,40.04312515258789
2023-08-31 10:36:18.770732,378977,6.862879436681862,384796.2394957983,-828.952344637221,-810.9930101640016,-1.7069053627363928,40.258503913879395
2023-08-31 10:36:18.961687,378974,6.862879436681862,384796.2394957983,-829.389478937434,-812.6550812395367,-1.6620710755350956,40.449459075927734
2023-08-31 10:36:19.154119,378942,6.862879436681862,384796.2394957983,-834.0522448063725,-814.2178763934115,-1.5627951538748448,40.64189100265503
2023-08-31 10:36:19.358970,378974,6.862879436681862,384796.2394957983,-829.389478937434,-815.6861992992552,-1.4683229058437064,40.846742153167725
2023-08-31 10:36:19.565214,378916,6.862879436681862,384796.2394957983,-837.840742074885,-817.1433136332987,-1.4571143340434674,41.05298590660095
2023-08-31 10:36:19.761985,378943,6.862879436681862,384796.2394957983,-833.9065333729682,-818.6292500091145,-1.4859363758157542,41.249757051467896
2023-08-31 10:36:19.962088,378948,6.862879436681862,384796.2394957983,-833.1779762059465,-820.030321484156,-1.40107147504159,41.449859857559204
2023-08-31 10:36:20.161838,378909,6.862879436681862,384796.2394957983,-838.8607221087153,-821.3673439774814,-1.3370224933253212,41.64961004257202
2023-08-31 10:36:20.354133,378929,6.862879436681862,384796.2394957983,-835.9464934406287,-822.6050905491467,-1.2377465716652978,41.84190487861633
2023-08-31 10:36:20.554340,378954,6.862879436681862,384796.2394957983,-832.3037076055206,-823.7051318101221,-1.1000412609754449,42.04211211204529
2023-08-31 10:36:20.754639,378941,6.862879436681862,384796.2394957983,-834.1979562397768,-824.6578604131507,-0.9527286030286177,42.2424111366272
2023-08-31 10:36:20.956570,378977,6.862879436681862,384796.2394957983,-828.952344637221,-825.6137914652647,-0.9559310521140105,42.44434213638306
2023-08-31 10:36:21.163259,378968,6.862879436681862,384796.2394957983,-830.26374753786,-826.4464282275748,-0.8326367623100168,42.65103077888489
2023-08-31 10:36:21.360741,379005,6.862879436681862,384796.2394957983,-824.8724245018999,-827.38634703426,-0.9399188066852275,42.84851312637329
2023-08-31 10:36:21.561535,378919,6.862879436681862,384796.2394957983,-837.4036077746721,-828.1869593057122,-0.8006122714522235,43.049306869506836
2023-08-31 10:36:21.760711,378927,6.862879436681862,384796.2394957983,-836.2379163074374,-829.0019825980509,-0.8150232923386511,43.24848294258118
2023-08-31 10:36:21.957717,378949,6.862879436681862,384796.2394957983,-833.0322647725422,-829.759361806845,-0.7573792087941911,43.445488929748535
2023-08-31 10:36:22.163104,378955,6.862879436681862,384796.2394957983,-832.1579961721162,-830.5599740782972,-0.8006122714521098,43.65087604522705
2023-08-31 10:36:22.364042,378886,6.862879436681862,384796.2394957983,-842.2120850770149,-831.4246353314659,-0.8646612531687197,43.85181403160095
2023-08-31 10:36:22.567722,378926,6.862879436681862,384796.2394957983,-836.3836277408417,-832.196425561146,-0.771790229680164,44.0554940700531
2023-08-31 10:36:22.758871,378884,6.862879436681862,384796.2394957983,-842.5035079438235,-832.8961606863952,-0.6997351252491626,44.24664306640625
2023-08-31 10:36:22.961701,378884,6.862879436681862,384796.2394957983,-842.5035079438235,-833.6343252006742,-0.7381645142789921,44.4494731426239
2023-08-31 10:36:23.161479,378871,6.862879436681862,384796.2394957983,-844.3977565780798,-834.263606446036,-0.6292812453617671,44.649250984191895
2023-08-31 10:36:23.366868,378871,6.862879436681862,384796.2394957983,-844.3977565780798,-834.9024950386549,-0.6388885926189687,44.85464000701904
2023-08-31 10:36:23.562569,378797,6.862879436681862,384796.2394957983,-855.18040265,-835.4645248532146,-0.5620298145596507,45.0503408908844
2023-08-31 10:36:23.759727,378828,6.862879436681862,384796.2394957983,-850.6633482144658,-836.0457693622889,-0.5812445090742813,45.247498989105225
2023-08-31 10:36:23.961757,378825,6.862879436681862,384796.2394957983,-851.1004825146789,-836.6558359131351,-0.6100665508462271,45.44952893257141
2023-08-31 10:36:24.169078,378839,6.862879436681862,384796.2394957983,-849.0605224470182,-837.2386816467528,-0.5828457336176598,45.6568500995636
2023-08-31 10:36:24.363610,378862,6.862879436681862,384796.2394957983,-845.7091594787187,-837.7462698268533,-0.5075881801005835,45.85138201713562
2023-08-31 10:36:24.566768,378861,6.862879436681862,384796.2394957983,-845.854870912123,-838.2266371897251,-0.48036736287178883,46.054540157318115
2023-08-31 10:36:24.766007,378832,6.862879436681862,384796.2394957983,-850.0805024808485,-838.6445567954232,-0.4179196056981027,46.25377893447876
2023-08-31 10:36:24.963894,378824,6.862879436681862,384796.2394957983,-851.2461939480831,-839.1169180355799,-0.4723612401567152,46.45166611671448
2023-08-31 10:36:25.174046,378845,6.862879436681862,384796.2394957983,-848.1862538465923,-839.4916045786197,-0.37468654303972926,46.66181802749634
2023-08-31 10:36:25.368815,378800,6.862879436681862,384796.2394957983,-854.7432683497871,-839.816653160829,-0.32504858220931965,46.856587171554565
2023-08-31 10:36:25.569586,378803,6.862879436681862,384796.2394957983,-854.3061340495741,-840.1849348056973,-0.36828164486826154,47.05735802650452
2023-08-31 10:36:25.763242,378848,6.862879436681862,384796.2394957983,-847.7491195463793,-840.6156642077387,-0.4307294020414929,47.25101399421692
2023-08-31 10:36:25.966238,378866,6.862879436681862,384796.2394957983,-845.1263137451015,-841.1024364687819,-0.48677226104314286,47.454010009765625
2023-08-31 10:36:26.163066,378873,6.862879436681862,384796.2394957983,-844.1063337112711,-841.5027426045084,-0.40030613572650964,47.650838136672974
2023-08-31 10:36:26.366313,378893,6.862879436681862,384796.2394957983,-841.1921050431846,-841.7525336332013,-0.24979102869292547,47.854084968566895
2023-08-31 10:36:26.573420,378862,6.862879436681862,384796.2394957983,-845.7091594787187,-842.1816618106997,-0.42912817749834176,48.06119203567505
2023-08-31 10:36:26.773921,378931,6.862879436681862,384796.2394957983,-835.6550705738201,-842.6155936618266,-0.4339318511268857,48.26169300079346
2023-08-31 10:36:26.972839,378867,6.862879436681862,384796.2394957983,-844.9806023116971,-842.9614581630941,-0.3458645012675561,48.46061086654663
2023-08-31 10:36:27.170563,378876,6.862879436681862,384796.2394957983,-843.6691994110581,-843.2656908262461,-0.3042326631519927,48.65833497047424
2023-08-31 10:36:27.370348,378887,6.862879436681862,384796.2394957983,-842.0663736436105,-843.5443038967114,-0.278613070465326,48.85811996459961
2023-08-31 10:36:27.573209,378891,6.862879436681862,384796.2394957983,-841.4835279099932,-843.7124324737163,-0.1681285770048362,49.060981035232544
2023-08-31 10:36:27.770240,378848,6.862879436681862,384796.2394957983,-847.7491195463793,-843.9029781943223,-0.1905457206059964,49.25801205635071
2023-08-31 10:36:27.973885,378848,6.862879436681862,384796.2394957983,-847.7491195463793,-844.1960022856736,-0.2930240913512989,49.46165680885315
2023-08-31 10:36:28.177924,378840,6.862879436681862,384796.2394957983,-848.914811013614,-844.4554006616244,-0.25939837595080917,49.665696144104004
2023-08-31 10:36:28.369730,378831,6.862879436681862,384796.2394957983,-850.2262139142529,-844.7083941394031,-0.252993477778773,49.85750198364258
2023-08-31 10:36:28.578858,378800,6.862879436681862,384796.2394957983,-854.7432683497871,-844.9822035362398,-0.2738093968366684,50.0666298866272
2023-08-31 10:36:28.770735,378794,6.862879436681862,384796.2394957983,-855.617536950213,-845.18075537956,-0.19855184332016051,50.25850701332092
2023-08-31 10:36:28.975070,378799,6.862879436681862,384796.2394957983,-854.8889797831914,-845.4081292646525,-0.22737388509256107,50.46284198760986
2023-08-31 10:36:29.169099,378811,6.862879436681862,384796.2394957983,-853.1404425823395,-845.6018774343441,-0.19374816969161657,50.65687108039856
